session_day,class,first_qualifying_excursion_pips,side,minute_of_day
2015-07-16,SW,35.199999999999676,-1,465.0
2015-07-17,SW,29.09999999999968,-1,510.0
2015-07-20,SA,38.40000000000065,-1,315.0
2015-07-21,NEITHER,,0,
2015-07-22,NEITHER,,0,
2015-07-23,SA,30.700000000001282,1,210.0
2015-07-24,SA,26.199999999998447,-1,465.0
2015-07-27,SW,32.70000000000106,1,600.0
2015-07-28,SW,33.30000000000055,1,330.0
2015-07-29,SA,25.899999999998702,1,390.0
2015-07-30,NEITHER,,0,
2015-07-31,SA,25.900000000000922,-1,210.0
2015-08-03,SA,26.199999999998447,-1,360.0
2015-08-04,NEITHER,,0,
2015-08-05,SA,40.40000000000043,1,420.0
2015-08-06,SA,30.90000000000037,-1,405.0
2015-08-07,SW,35.39999999999876,-1,555.0
2015-08-10,SW,28.000000000001357,1,600.0
2015-08-11,NEITHER,,0,
2015-08-12,SA,31.90000000000026,1,495.0
2015-08-13,SA,29.200000000000337,-1,570.0
2015-08-14,SW,30.100000000001792,1,600.0
2015-08-17,SA,26.200000000000667,-1,630.0
2015-08-18,SA,71.39999999999924,1,270.0
2015-08-19,NEITHER,,0,
2015-08-20,SA,39.00000000000014,-1,270.0
2015-08-24,SA,28.69999999999928,1,435.0
2015-08-25,SA,29.29999999999877,1,345.0
2015-08-26,SA,32.600000000000406,-1,315.0
2015-08-27,SA,30.200000000000227,-1,420.0
2015-08-28,SA,26.500000000000412,-1,300.0
2015-08-31,SA,27.69999999999939,-1,615.0
2015-09-01,SA,42.599999999999305,-1,270.0
2015-09-02,NEITHER,,0,
2015-09-03,SA,27.399999999999647,-1,630.0
2015-09-04,SA,27.500000000000302,-1,525.0
2015-09-07,SA,26.100000000000012,1,195.0
2015-09-08,NEITHER,,0,
2015-09-09,NEITHER,,0,
2015-09-10,SA,54.700000000000855,1,420.0
2015-09-11,SA,28.399999999999537,-1,420.0
2015-09-14,SW,25.300000000001432,-1,465.0
2015-09-15,SW,32.600000000000406,-1,630.0
2015-09-16,SA,47.40000000000188,1,270.0
2015-09-17,SW,28.099999999999792,1,825.0
2015-09-18,SA,27.099999999999902,1,285.0
2015-09-21,SW,28.69999999999928,-1,630.0
2015-09-22,SA,43.199999999998795,-1,360.0
2015-09-23,SA,28.900000000000592,-1,345.0
2015-09-24,SA,27.399999999999647,-1,480.0
2015-09-25,SA,31.600000000000517,-1,450.0
2015-09-28,NEITHER,,0,
2015-09-29,NEITHER,,0,
2015-09-30,SW,38.19999999999934,1,390.0
2015-10-01,SA,33.09999999999924,1,585.0
2015-10-02,SA,55.70000000000075,1,510.0
2015-10-05,SW,25.800000000000267,-1,705.0
2015-10-06,SA,27.599999999998737,1,570.0
2015-10-07,SA,27.999999999999137,1,255.0
2015-10-08,SA,27.900000000000702,1,330.0
2015-10-09,SA,33.10000000000146,-1,570.0
2015-10-12,NEITHER,,0,
2015-10-13,SW,45.100000000000136,-1,270.0
2015-10-14,SA,39.49999999999898,1,240.0
2015-10-15,SW,38.89999999999949,-1,510.0
2015-10-16,SA,26.299999999999102,-1,945.0
2015-10-19,SA,36.89999999999971,1,405.0
2015-10-20,SW,27.400000000001867,-1,900.0
2015-10-21,SA,25.800000000000267,1,660.0
2015-10-22,SA,35.30000000000033,1,255.0
2015-10-23,SW,32.00000000000092,-1,540.0
2015-10-26,SA,35.80000000000138,1,615.0
2015-10-27,SA,25.899999999998702,-1,315.0
2015-10-28,SW,25.600000000001177,1,690.0
2015-10-29,SW,35.80000000000138,1,615.0
2015-10-30,SA,33.0000000000008,1,630.0
2015-11-02,SA,38.90000000000171,1,270.0
2015-11-03,SA,27.200000000000557,-1,420.0
2015-11-04,SA,31.09999999999946,-1,585.0
2015-11-05,SA,98.09999999999874,-1,420.0
2015-11-06,SA,26.500000000000412,-1,285.0
2015-11-09,SA,29.700000000001392,1,420.0
2015-11-10,NEITHER,,0,
2015-11-11,SA,25.699999999999612,1,675.0
2015-11-12,NEITHER,,0,
2015-11-13,NEITHER,,0,
2015-11-16,NEITHER,,0,
2015-11-17,SW,27.399999999999647,1,570.0
2015-11-18,SA,25.600000000001177,1,270.0
2015-11-19,SW,31.200000000000117,1,675.0
2015-11-20,SW,27.69999999999939,-1,435.0
2015-11-23,SA,26.599999999998847,-1,930.0
2015-11-24,SA,25.100000000000122,-1,435.0
2015-11-25,NEITHER,,0,
2015-11-26,NEITHER,,0,
2015-11-27,SA,39.1000000000008,-1,285.0
2015-11-30,NEITHER,,0,
2015-12-01,NEITHER,,0,
2015-12-02,SA,29.000000000001247,-1,405.0
2015-12-03,SA,30.49999999999997,1,465.0
2015-12-04,NEITHER,,0,
2015-12-07,SA,37.799999999998946,-1,195.0
2015-12-08,SA,31.399999999999206,-1,255.0
2015-12-09,SA,32.2,1,300.0
2015-12-10,SW,38.200000000001566,-1,435.0
2015-12-11,SW,40.200000000001346,1,540.0
2015-12-14,SA,26.399999999999757,-1,210.0
2015-12-15,SW,48.200000000000465,-1,615.0
2015-12-16,SA,31.29999999999855,-1,255.0
2015-12-17,SW,40.599999999999525,-1,645.0
2015-12-18,NEITHER,,0,
2015-12-21,NEITHER,,0,
2015-12-22,SW,35.89999999999982,-1,555.0
2015-12-23,SA,26.299999999999102,1,375.0
2015-12-28,SW,26.599999999998847,-1,720.0
2015-12-29,SA,25.499999999998302,-1,300.0
2015-12-30,NEITHER,,0,
2015-12-31,SW,29.800000000002047,-1,615.0
